user_id,tweet_id,text,like_count,retweet_count
1221300014,976082177241776129,"Scala 2.12.5 is out! Highlights: experimental parallel backend, Java 9  style -release flag, performance improvemen… https://t.co/kpqQiJ3AAo",365,222
22874473,974218032384966656,"There are so many people eager and willing to tell me what I am and what I am not. 

I've been a fine artist, an el… https://t.co/6AersUWjKP",364,47
298215863,1006273523411767297,"Successfully defended my PhD thesis about Scala.js today: Cross-Platform Language Design 😃 #PhDone (almost, still h… https://t.co/ZFwdvvcvmh",364,39
3241576024,1234920423999057924,"""Practical FP in Scala"" is now 100% complete! 🎉

Thanks to all the early readers, whose support has given me the st… https://t.co/U2ozRW9Htp",361,97
22874473,1012309272703709185,"I wish more successful people demonstrated how they failed, and how often they failed.",359,63
22874473,983351254758850561,"And... I started a blog!

First up, something my students recently needed that I realized most other people need to… https://t.co/fPFo1ENAQe",354,94
215271396,1141766562266746880,"Hundreds of engineers at Stripe are using it every day.
It has been running in production for more than a year at S… https://t.co/aldkXwxMEC",344,75
15594928,1082329889829580800,"I'm always happy when I get to merge a PR in the stream, today was PIC type checking https://t.co/NUiRloXJCL :) https://t.co/f5NklCvNS9",343,14
17271117,1187981746991779842,"There are 4 main camps within Scala:

1. Spark Scala
2. 'Better Java' Scala
3. Lightbend Scala
4. Functional Scala… https://t.co/Uvi6XvCZDy",339,76
1075311183832539136,1200386748095840258,Method chain hints in #IntelliJ #Scala plugin 2019.3: https://t.co/EJGjV0EKa8,335,74
2453916726,896000631990767619,"sbt 1.0.0 is now available, ft #Scala 2.12 and Zinc 1! Thanks to all contributors and plugins! @lightbend - https://t.co/xMOATOeyfU",331,288
1221300014,1158460697723822080,"Scala 2.12.9 brings 5–10% faster compilation, improved JDK 11+ support, and groundwork for build pipelining. Thank… https://t.co/sicNOy2lL8",331,123
22874473,946017155451060224,"👍 Agree.

Top predictors of success in tech: 
- Be on a team where you feel safe
- Good communication/openness

Ego… https://t.co/bgAfQECedw",331,130
1221300014,987368063866671104,Scala 3 is coming! blog post by @odersky: https://t.co/hxogUrm2Pk “We are now at a stage where we can commit: Dotty will become Scala 3.0.”,329,175
198579020,1211331110770106368,Friendly reminder that Scala 2.13 supports direct pattern matching on strings! https://t.co/7fRa2nEpyC,327,82
22874473,1099106517628915713,"Current marriage status: 
Just got in trouble with husband because I didn't inform him that there were people givin… https://t.co/Ohr2NeWS7T",326,8
3140381213,1075151747528708096,Learning or teaching @scala_lang? The Scala tour is now available as a set of excecutable Jupyter notebooks on bind… https://t.co/qnbspJzfQv,321,146
17765013,991057604267954177,Macros: The plan for Scala 3: https://t.co/C0jG46ucQt,321,185
17765013,891231582538878976,"I liked this blog: https://t.co/MQSLEZEPqD. Interestingly, Scala makes almost exactly the same design decisions as Idris in these areas.",321,119
17765013,709336616133853185,Announcing the Scala Center. Very excited to see this next step in Scala's evolution: https://t.co/SvYRxbThwg. https://t.co/GKcbKTWShK,321,394
17271117,1160465664106274816,"REST APIs are in the process of being replaced by:

 - GraphQL / etc. for bread and butter data APIs

 - Protocol-b… https://t.co/x9T2psMPhR",310,77
15594928,1091254952079605760,There’s new CSVs to parse: it’s like my bat signal but less cool.,305,15
11352392,1019908431006887936,Why #Scala? https://t.co/rbBlZcw7aV,304,157
15406736,1094875023079280640,"Static typing leads to a dramatic reduction in bugs, who knew
https://t.co/KIpO1aJwPW",298,103
198579020,1205564034134794240,"Me in 2011: I really want to work at Google or Facebook
Me in 2019: I never want to work at Google nor Facebook",295,40
1221300014,989894770947391489,Scala 2.12.6 is out! Macros work again on Java 9 &amp; 10. Thanks to the 11 contributors! https://t.co/cT61bmQYsH,291,162
22874473,1187229202581344256,"PL needs HCI
it's literally insane that this sort of thinking isn't the status quo
just what in the actual fuck

th… https://t.co/NPqbz7gSxG",291,56
17765013,734754598368464896,"Scala specialization launched on Coursera! 3 courses up now, more to follow. https://t.co/rP0fkDib6Q",290,245
15594928,1132236473628012545,Hey ML/AI friends I'm working on a new book with some friends about @kubeflow if you want to keep up to date you ca… https://t.co/YkAhnx44Jp,287,54
455142411,1112373470049042434,I'm excited to share that I'm joining Twitter later this year to work on Scala tooling✌️https://t.co/3N1ZT61Lcw,286,30
22874473,988465405504077824,"Autocorrect keeps on ending my emails:

Cheese,
Heater

rather than

Cheers,
Heather

I almost don't want to fix it.",286,4
46982053,1196335768173785088,You cannot begin to imagine how happy and grateful I am to be joining the Scala Team (at Lightbend) in a few weeks!,286,12
1221300014,968603471833284608,"four Scala courses on Coursera, now also available free via Open edX: https://t.co/p9dIl554E8
• Functional Programm… https://t.co/gtVJjHqWsH",284,146
